LED1	2.59V	
677.264	80.74	0
677.609	-30.71	0
677.953	87.43	0
678.297	20.56	0
678.641	33.93	0
678.986	33.93	0
679.33	22.79	0
679.674	20.56	0
680.018	2.72	0
680.362	58.45	0
680.706	74.06	0
681.05	42.85	0
681.394	100.8	0
681.738	29.47	0
682.082	36.16	0
682.425	80.74	0
682.769	-17.34	0
683.113	13.87	0
683.456	85.2	0
683.8	85.2	0
684.143	85.2	0
684.487	4.95	0
684.83	53.99	0
685.174	-12.88	0
685.517	33.93	0
685.86	109.72	0
686.204	20.56	0
686.547	60.68	0
686.89	82.97	0
687.233	18.33	0
687.576	82.97	0
687.919	105.26	0
688.263	51.76	0
688.605	49.54	0
688.948	36.16	0
689.291	116.41	0
689.634	82.97	0
689.977	80.74	0
690.32	56.22	0
690.662	42.85	0
691.005	67.37	0
691.348	29.47	0
691.69	45.08	0
692.033	40.62	0
692.375	96.35	0
692.718	27.24	0
693.06	107.49	0
693.402	123.09	0
700.24	96.35	0
