phosphor		
wavelength	intensity	not used
545.489	62975.02	0
545.849	63186.79	0
546.209	63104.31	0
546.568	63115.46	0
546.928	62988.4	0
547.288	63019.61	0
547.648	63324.99	0
548.008	63184.56	0
548.367	63244.74	0
548.727	63202.39	0
549.087	63144.43	0
549.446	63175.64	0
549.806	63137.75	0
550.166	63133.29	0
550.525	63095.39	0
550.884	62948.27	0
551.244	63162.27	0
551.603	63246.97	0
551.963	63028.52	0
552.322	63153.35	0
552.681	63015.15	0
553.04	62925.98	0
553.4	63064.19	0
553.759	62872.49	0
554.118	62903.69	0
554.477	62807.84	0
554.836	62591.62	0
555.195	62720.91	0
555.554	62638.43	0
555.913	62812.3	0
556.271	62538.12	0
556.63	62482.4	0
556.989	62504.69	0
557.348	62440.04	0
557.706	62317.44	0
558.065	62408.84	0
558.424	62076.7	0
558.782	61967.48	0
559.141	62009.83	0
559.499	61851.57	0
559.858	61771.32	0
560.216	61590.76	0
560.575	61840.42	0
560.933	61568.47	0
561.291	61410.21	0
561.649	61341.11	0
562.008	61410.21	0
562.366	61107.05	0
562.724	61220.74	0
563.082	61044.64	0
563.44	60866.31	0
563.798	60772.69	0
564.156	60594.36	0
564.514	60719.19	0
564.872	60349.17	0
565.23	60291.21	0
565.588	60322.42	0
565.945	60324.65	0
566.303	60282.29	0
566.661	59974.68	0
567.018	59950.16	0
567.376	59967.99	0
567.734	59647	0
568.091	59455.3	0
568.449	59297.04	0
568.806	59259.14	0
569.163	59158.84	0
569.521	59074.13	0
569.878	58797.72	0
570.235	58541.38	0
570.593	58697.42	0
570.95	58465.59	0
571.307	58481.2	0
571.664	58354.14	0
572.021	58356.37	0
572.378	58120.08	0
572.735	58066.59	0
573.092	57863.74	0
573.449	57654.21	0
573.806	57578.42	0
574.163	57482.57	0
574.52	57255.2	0
574.876	57290.87	0
575.233	57154.89	0
575.59	57103.62	0
575.946	56800.47	0
576.303	56791.55	0
576.659	56666.72	0
577.016	56249.88	0
577.372	56475.02	0
577.729	56417.07	0
578.085	56209.76	0
578.442	56076.02	0
578.798	55915.52	0
579.154	55777.32	0
579.51	55498.68	0
579.867	55463.02	0
580.223	55293.61	0
580.579	54999.37	0
580.935	55197.76	0
581.291	55157.63	0
581.647	54825.5	0
582.003	54631.57	0
582.359	54580.3	0
582.715	54390.83	0
583.07	54065.38	0
583.426	54141.17	0
583.782	54076.53	0
584.138	53942.78	0
584.493	53800.12	0
584.849	53347.62	0
585.204	53358.77	0
585.56	53309.73	0
585.915	53525.95	0
586.271	53004.34	0
586.626	53046.69	0
586.982	53008.8	0
587.337	52549.61	0
587.692	52157.29	0
588.048	52409.18	0
588.403	51981.19	0
588.758	52068.13	0
589.113	52130.54	0
589.468	51869.74	0
589.823	51303.55	0
590.178	51466.28	0
590.533	51205.47	0
590.888	51261.2	0
591.243	50893.4	0
591.598	50507.77	0
591.952	50788.63	0
592.307	50128.83	0
592.662	50180.1	0
593.017	50202.39	0
593.371	50015.14	0
593.726	49649.57	0
594.08	49616.14	0
594.435	49205.99	0
594.789	49170.32	0
595.144	48798.06	0
595.498	48365.62	0
595.852	48457.01	0
596.207	48015.66	0
596.561	48004.51	0
596.915	47750.4	0
597.269	47188.67	0
597.623	46985.82	0
597.978	46629.17	0
598.332	46526.63	0
598.686	46684.9	0
599.04	46288.12	0
599.394	45920.32	0
599.747	45086.64	0
600.101	45073.27	0
600.455	44948.44	0
600.809	44509.31	0
601.163	44141.51	0
601.516	43709.07	0
601.87	43301.15	0
602.223	43341.27	0
602.577	42870.94	0
602.93	42478.62	0
603.284	42043.95	0
603.637	42456.33	0
603.991	41792.06	0
604.344	41221.42	0
604.697	41069.84	0
605.051	40251.77	0
605.404	39917.4	0
605.757	40287.43	0
606.11	39681.12	0
606.463	39373.51	0
606.816	38789.49	0
607.169	38892.03	0
607.522	38829.61	0
607.875	37851.04	0
608.228	37583.55	0
608.581	37474.33	0
608.934	36961.64	0
609.287	36734.27	0
609.639	36475.7	0
609.992	36098.99	0
610.345	35920.66	0
610.697	35390.14	0
611.05	35577.38	0
611.402	34569.84	0
611.755	34779.37	0
612.107	34068.29	0
612.459	33711.64	0
612.812	33323.78	0
613.164	33098.64	0
613.516	32726.39	0
613.869	32552.52	0
614.221	32398.71	0
614.573	31874.88	0
614.925	31903.85	0
615.277	31388.94	0
615.629	31141.51	0
615.981	30561.95	0
616.333	30381.39	0
616.685	30207.52	0
617.037	29835.27	0
617.388	29710.44	0
617.74	29055.09	0
618.092	29075.15	0
618.444	28415.34	0
618.795	28130.02	0
619.147	28014.11	0
619.498	27715.41	0
619.85	27519.25	0
620.201	27204.95	0
620.553	26725.7	0
620.904	26186.26	0
621.255	26045.83	0
621.607	26054.74	0
621.958	25319.15	0
622.309	25593.32	0
622.66	25363.73	0
623.012	24728.44	0
623.363	24454.26	0
623.714	24420.83	0
624.065	24024.05	0
624.416	23881.39	0
624.767	23495.76	0
625.117	23524.74	0
625.468	22927.34	0
625.819	22820.35	0
626.17	22376.76	0
626.52	22443.63	0
626.871	22218.5	0
627.222	22086.98	0
627.572	21716.95	0
627.923	21485.13	0
628.273	21384.82	0
628.624	20867.67	0
628.974	20731.7	0
629.325	20386.19	0
629.675	20314.86	0
630.025	20147.68	0
630.375	19759.82	0
630.726	19530.22	0
631.076	19360.81	0
631.426	19048.74	0
631.776	19140.13	0
632.126	18863.73	0
632.476	18571.72	0
632.826	18190.54	0
633.176	18279.71	0
633.526	18132.59	0
633.875	17711.29	0
634.225	17644.42	0
634.575	17200.83	0
634.925	16922.2	0
635.274	16940.03	0
635.624	17055.94	0
635.973	16806.28	0
636.323	16672.54	0
636.672	16402.82	0
637.022	16119.73	0
637.371	15945.86	0
637.721	16101.9	0
638.07	15734.1	0
638.419	15667.22	0
638.768	15321.72	0
639.118	15145.62	0
639.467	15036.39	0
639.816	14846.92	0
640.165	14543.77	0
640.514	14303.03	0
640.863	14343.15	0
641.212	14396.65	0
641.561	14013.25	0
641.909	13959.75	0
642.258	13768.05	0
642.607	13560.74	0
642.956	13707.86	0
643.304	13389.1	0
643.653	13190.71	0
644.002	13027.99	0
644.35	12990.1	0
644.699	12963.35	0
645.047	12539.82	0
645.395	12383.79	0
645.744	12372.64	0
646.092	12158.65	0
646.44	12212.15	0
646.789	12044.97	0
647.137	11920.14	0
647.485	11645.96	0
647.833	11554.57	0
648.181	11581.32	0
648.529	11171.17	0
648.877	11200.14	0
649.225	11079.77	0
649.573	10859.1	0
649.921	10562.63	0
650.269	10723.12	0
650.616	10544.79	0
650.964	10424.42	0
651.312	10134.64	0
651.659	10535.88	0
652.007	10110.12	0
652.355	9835.95	0
652.702	10000.9	0
653.05	9838.18	0
653.397	9577.37	0
653.744	9697.74	0
654.092	9138.24	0
654.439	9316.57	0
654.786	9247.47	0
655.133	9414.65	0
655.481	9084.75	0
655.828	8826.17	0
656.175	8739.24	0
656.522	8734.78	0
656.869	8418.25	0
657.216	8516.33	0
657.563	8373.67	0
657.909	8355.84	0
658.256	8202.03	0
