al2o3		
WL (nm)	n	k
1586	1.57742	0
1588	1.5774	0
1590	1.57738	0
1592	1.57737	0
1594	1.57735	0
1596	1.57734	0
1598	1.57732	0
1600	1.5773	0
1602	1.57729	0
1604	1.57727	0
1606	1.57725	0
1608	1.57724	0
1610	1.57722	0
1612	1.57721	0
1614	1.57719	0
1616	1.57717	0
1618	1.57716	0
1620	1.57714	0
1622	1.57712	0
1624	1.57711	0
1626	1.57709	0
1628	1.57708	0
1630	1.57706	0
1632	1.57704	0
1634	1.57703	0
1636	1.57701	0
1638	1.577	0
1640	1.57698	0
1642	1.57696	0
1644	1.57695	0
1646	1.57693	0
1648	1.57691	0
1650	1.5769	0
1652	1.57688	0
1654	1.57687	0
1656	1.57685	0
1658	1.57683	0
1660	1.57682	0
1662	1.5768	0
1664	1.57678	0
1666	1.57677	0
1668	1.57675	0
1670	1.57674	0
1672	1.57672	0
1674	1.5767	0
1676	1.57669	0
1678	1.57667	0
1680	1.57665	0
1682	1.57664	0
1684	1.57662	0
1686	1.57661	0
1688	1.57659	0
1690	1.57657	0
1692	1.57656	0
1694	1.57654	0
1696	1.57652	0
1698	1.57651	0
1700	1.57649	0
1702	1.57647	0
1704	1.57646	0
1706	1.57644	0
1708	1.57643	0
1710	1.57641	0
1712	1.57639	0
1714	1.57638	0
1716	1.57636	0
1718	1.57635	0
1720	1.57633	0
1722	1.57631	0
1724	1.5763	0
1726	1.57628	0
1728	1.57626	0
1730	1.57625	0
1732	1.57623	0
1734	1.57622	0
1736	1.5762	0
1738	1.57618	0
1740	1.57617	0
1742	1.57615	0
1744	1.57613	0
1746	1.57612	0
1748	1.5761	0
1750	1.57609	0
1752	1.57607	0
1754	1.57605	0
1756	1.57604	0
1758	1.57602	0
1760	1.576	0
1762	1.57599	0
1764	1.57597	0
1766	1.57596	0
1768	1.57594	0
1770	1.57592	0
1772	1.57591	0
1774	1.57589	0
1776	1.57587	0
1778	1.57586	0
1780	1.57584	0
1782	1.57583	0
1784	1.57581	0
1786	1.57579	0
1788	1.57578	0
1790	1.57576	0
1792	1.57574	0
1794	1.57573	0
1796	1.57571	0
1798	1.5757	0
1800	1.57568	0
1802	1.57566	0
1804	1.57565	0
1806	1.57563	0
1808	1.57561	0
1810	1.5756	0
1812	1.57558	0
1814	1.57557	0
1816	1.57555	0
1818	1.57553	0
1820	1.57552	0
1822	1.5755	0
1824	1.57548	0
1826	1.57547	0
1828	1.57545	0
1830	1.57544	0
1832	1.57542	0
1834	1.5754	0
1836	1.57539	0
1838	1.57537	0
1840	1.57536	0
1842	1.57534	0
1844	1.57532	0
1846	1.57531	0
1848	1.57529	0
1850	1.57527	0
1852	1.57526	0
1854	1.57524	0
1856	1.57523	0
1858	1.57521	0
1860	1.57519	0
1862	1.57518	0
1864	1.57516	0
1866	1.57514	0
1868	1.57513	0
1870	1.57511	0
1872	1.5751	0
1874	1.57508	0
1876	1.57506	0
1878	1.57505	0
1880	1.57503	0
1882	1.57501	0
1884	1.575	0
1886	1.57498	0
1888	1.57497	0
1890	1.57495	0
1892	1.57493	0
1894	1.57492	0
1896	1.5749	0
1898	1.57488	0
1900	1.57487	0
1902	1.57485	0
1904	1.57484	0
1906	1.57482	0
1908	1.5748	0
1910	1.57479	0
1912	1.57477	0
1914	1.57475	0
1916	1.57474	0
1918	1.57472	0
1920	1.57471	0
1922	1.57469	0
1924	1.57467	0
1926	1.57466	0
1928	1.57464	0
1930	1.57462	0
1932	1.57461	0
1934	1.57459	0
1936	1.57458	0
1938	1.57456	0
1940	1.57454	0
1942	1.57453	0
1944	1.57451	0
1946	1.57449	0
1948	1.57448	0
1950	1.57446	0
1952	1.57445	0
1954	1.57443	0
1956	1.57441	0
1958	1.5744	0
1960	1.57438	0
1962	1.57436	0
1964	1.57435	0
1966	1.57433	0
1968	1.57432	0
1970	1.5743	0
1972	1.57428	0
1974	1.57427	0
1976	1.57425	0
1978	1.57424	0
1980	1.57422	0
1982	1.5742	0
1984	1.57419	0
1986	1.57417	0
1988	1.57415	0
1990	1.57414	0
1992	1.57412	0
1994	1.57411	0
1996	1.57409	0
1998	1.57407	0
2000	1.57406	0
