Coverglass		
WL (nm)	n	k
1234	1.40087	0.000022
1236	1.40086	0.000022
1238	1.40085	0.000022
1240	1.40084	0.000022
1242	1.40083	0.000022
1244	1.40082	0.000021
1246	1.40081	0.000021
1248	1.4008	0.000021
1250	1.40079	0.000021
1252	1.40079	0.000021
1254	1.40078	0.000021
1256	1.40077	0.000021
1258	1.40076	0.000021
1260	1.40075	0.000021
1262	1.40074	0.000021
1264	1.40073	0.000021
1266	1.40073	0.000021
1268	1.40072	0.000021
1270	1.40071	0.000021
1272	1.4007	0.000021
1274	1.40069	0.000022
1276	1.40068	0.000022
1278	1.40068	0.000022
1280	1.40067	0.000022
1282	1.40066	0.000022
1284	1.40065	0.000022
1286	1.40064	0.000022
1288	1.40063	0.000022
1290	1.40062	0.000022
1292	1.40062	0.000022
1294	1.40061	0.000022
1296	1.4006	0.000022
1298	1.40059	0.000022
1300	1.40058	0.000022
1302	1.40058	0.000022
1304	1.40057	0.000022
1306	1.40056	0.000022
1308	1.40055	0.000022
1310	1.40055	0.000023
1312	1.40054	0.000023
1314	1.40053	0.000023
1316	1.40052	0.000023
1318	1.40052	0.000023
1320	1.40051	0.000023
1322	1.4005	0.000023
1324	1.40049	0.000023
1326	1.40049	0.000023
1328	1.40048	0.000023
1330	1.40047	0.000023
1332	1.40046	0.000024
1334	1.40046	0.000024
1336	1.40045	0.000024
1338	1.40044	0.000024
1340	1.40043	0.000024
1342	1.40043	0.000024
1344	1.40042	0.000024
1346	1.40041	0.000024
1348	1.4004	0.000024
1350	1.4004	0.000024
1352	1.40039	0.000025
1354	1.40038	0.000026
1356	1.40037	0.000026
1358	1.40037	0.000027
1360	1.40036	0.000028
1362	1.40035	0.000028
1364	1.40035	0.000029
1366	1.40034	0.000029
1368	1.40033	0.00003
1370	1.40033	0.000031
1372	1.40032	0.000031
1374	1.40031	0.000032
1376	1.40031	0.000033
1378	1.4003	0.000033
1380	1.40029	0.000034
1382	1.40029	0.000035
1384	1.40028	0.000035
1386	1.40027	0.000036
1388	1.40027	0.000036
1390	1.40026	0.000037
1392	1.40025	0.000038
1394	1.40025	0.000038
1396	1.40024	0.000039
1398	1.40023	0.00004
1400	1.40023	0.00004
1402	1.40022	0.00004
1404	1.40021	0.000039
1406	1.40021	0.000039
1408	1.4002	0.000038
1410	1.4002	0.000038
1412	1.40019	0.000037
1414	1.40018	0.000036
1416	1.40018	0.000036
1418	1.40017	0.000035
1420	1.40017	0.000035
1422	1.40016	0.000034
1424	1.40015	0.000034
1426	1.40015	0.000033
1428	1.40014	0.000033
1430	1.40014	0.000032
1432	1.40013	0.000031
1434	1.40012	0.000031
1436	1.40012	0.00003
1438	1.40011	0.00003
1440	1.40011	0.000029
1442	1.4001	0.000029
1444	1.40009	0.000028
1446	1.40009	0.000028
1448	1.40008	0.000027
1450	1.40008	0.000027
1452	1.40007	0.000027
1454	1.40007	0.000027
1456	1.40006	0.000027
1458	1.40005	0.000027
1460	1.40005	0.000027
1462	1.40004	0.000027
1464	1.40004	0.000027
1466	1.40003	0.000027
1468	1.40003	0.000027
1470	1.40002	0.000027
1472	1.40002	0.000027
1474	1.40001	0.000028
1476	1.40001	0.000028
1478	1.4	0.000028
1480	1.39999	0.000028
1482	1.39999	0.000028
1484	1.39998	0.000028
1486	1.39998	0.000028
1488	1.39997	0.000028
1490	1.39997	0.000028
1492	1.39996	0.000028
1494	1.39996	0.000028
1496	1.39995	0.000028
1498	1.39995	0.000028
1500	1.39994	0.000029
1502	1.39994	0.000029
1504	1.39993	0.000029
1506	1.39993	0.000029
1508	1.39992	0.000029
1510	1.39992	0.000029
1512	1.39991	0.000029
1514	1.39991	0.00003
1516	1.3999	0.00003
1518	1.3999	0.00003
1520	1.39989	0.00003
1522	1.39989	0.00003
1524	1.39988	0.00003
1526	1.39988	0.00003
1528	1.39987	0.000031
1530	1.39987	0.000031
1532	1.39986	0.000031
1534	1.39986	0.000031
1536	1.39985	0.000031
1538	1.39985	0.000031
1540	1.39984	0.000031
1542	1.39984	0.000032
1544	1.39983	0.000032
1546	1.39983	0.000032
1548	1.39982	0.000032
1550	1.39982	0.000032
1552	1.39981	0.000032
1554	1.39981	0.000032
1556	1.3998	0.000032
1558	1.3998	0.000032
1560	1.39979	0.000031
1562	1.39979	0.000031
1564	1.39979	0.000031
1566	1.39978	0.000031
1568	1.39978	0.000031
1570	1.39977	0.000031
1572	1.39977	0.000031
1574	1.39976	0.00003
1576	1.39976	0.00003
1578	1.39975	0.00003
1580	1.39975	0.00003
1582	1.39975	0.00003
1584	1.39974	0.00003
1586	1.39974	0.00003
1588	1.39973	0.000029
1590	1.39973	0.000029
1592	1.39972	0.000029
1594	1.39972	0.000029
1596	1.39971	0.000029
1598	1.39971	0.000029
1600	1.39971	0.000029
1602	1.3997	0.000029
1604	1.3997	0.000029
1606	1.39969	0.00003
1608	1.39969	0.00003
1610	1.39968	0.00003
1612	1.39968	0.00003
1614	1.39968	0.000031
1616	1.39967	0.000031
1618	1.39967	0.000031
1620	1.39966	0.000032
1622	1.39966	0.000032
1624	1.39966	0.000032
1626	1.39965	0.000033
1628	1.39965	0.000033
1630	1.39964	0.000033
1632	1.39964	0.000033
1634	1.39964	0.000034
1636	1.39963	0.000034
1638	1.39963	0.000034
1640	1.39962	0.000035
1642	1.39962	0.000035
1644	1.39962	0.000035
1646	1.39961	0.000036
1648	1.39961	0.000036
1650	1.3996	0.000036
1652	1.3996	0.00004
1654	1.3996	0.000043
1656	1.39959	0.000046
1658	1.39959	0.000049
1660	1.39958	0.000053
1662	1.39958	0.000056
1664	1.39958	0.000059
1666	1.39957	0.000063
1668	1.39957	0.000066
1670	1.39957	0.000069
1672	1.39956	0.000073
1674	1.39956	0.000076
1676	1.39955	0.000079
1678	1.39955	0.000083
1680	1.39955	0.000086
1682	1.39954	0.000089
1684	1.39954	0.000093
1686	1.39954	0.000096
1688	1.39953	0.000099
1690	1.39953	0.000103
1692	1.39953	0.000106
1694	1.39952	0.000109
1696	1.39952	0.000113
1698	1.39951	0.000116
1700	1.39951	0.000119
1702	1.39951	0.000119
1704	1.3995	0.00012
1706	1.3995	0.00012
1708	1.3995	0.00012
1710	1.39949	0.000121
1712	1.39949	0.000121
1714	1.39949	0.000121
1716	1.39948	0.000122
1718	1.39948	0.000122
1720	1.39948	0.000122
1722	1.39947	0.000122
1724	1.39947	0.000123
1726	1.39947	0.000123
1728	1.39946	0.000123
1730	1.39946	0.000124
1732	1.39946	0.000124
1734	1.39945	0.000124
1736	1.39945	0.000124
1738	1.39945	0.000125
1740	1.39944	0.000125
1742	1.39944	0.000125
1744	1.39944	0.000126
1746	1.39943	0.000126
1748	1.39943	0.000126
1750	1.39943	0.000127
1752	1.39942	0.000123
1754	1.39942	0.00012
1756	1.39942	0.000117
1758	1.39941	0.000114
1760	1.39941	0.00011
1762	1.39941	0.000107
1764	1.3994	0.000104
1766	1.3994	0.000101
1768	1.3994	0.000098
1770	1.39939	0.000094
1772	1.39939	0.000091
1774	1.39939	0.000088
1776	1.39938	0.000085
1778	1.39938	0.000081
1780	1.39938	0.000078
1782	1.39938	0.000075
1784	1.39937	0.000072
1786	1.39937	0.000069
1788	1.39937	0.000065
1790	1.39936	0.000062
1792	1.39936	0.000059
1794	1.39936	0.000056
1796	1.39935	0.000052
1798	1.39935	0.000049
1800	1.39935	0.000046
1802	1.39934	0.000046
1804	1.39934	0.000047
1806	1.39934	0.000047
1808	1.39934	0.000047
1810	1.39933	0.000048
1812	1.39933	0.000048
1814	1.39933	0.000048
1816	1.39932	0.000048
1818	1.39932	0.000049
1820	1.39932	0.000049
1822	1.39932	0.000049
1824	1.39931	0.00005
1826	1.39931	0.00005
1828	1.39931	0.00005
1830	1.3993	0.000051
1832	1.3993	0.000051
1834	1.3993	0.000051
1836	1.3993	0.000052
1838	1.39929	0.000052
1840	1.39929	0.000052
1842	1.39929	0.000053
1844	1.39928	0.000053
1846	1.39928	0.000053
1848	1.39928	0.000053
1850	1.39928	0.000054
1852	1.39927	0.000053
1854	1.39927	0.000053
1856	1.39927	0.000052
1858	1.39926	0.000051
1860	1.39926	0.000051
1862	1.39926	0.00005
1864	1.39926	0.00005
1866	1.39925	0.000049
1868	1.39925	0.000049
1870	1.39925	0.000048
1872	1.39925	0.000047
1874	1.39924	0.000047
1876	1.39924	0.000046
1878	1.39924	0.000046
1880	1.39924	0.000045
1882	1.39923	0.000044
1884	1.39923	0.000044
1886	1.39923	0.000043
1888	1.39923	0.000043
1890	1.39922	0.000042
1892	1.39922	0.000041
1894	1.39922	0.000041
1896	1.39921	0.00004
1898	1.39921	0.00004
1900	1.39921	0.000039
1902	1.39921	0.000039
1904	1.3992	0.000039
1906	1.3992	0.000039
1908	1.3992	0.000039
1910	1.3992	0.000039
1912	1.39919	0.000039
1914	1.39919	0.000039
1916	1.39919	0.000039
1918	1.39919	0.000039
1920	1.39918	0.000039
1922	1.39918	0.000039
1924	1.39918	0.000039
1926	1.39918	0.000039
1928	1.39917	0.00004
1930	1.39917	0.00004
1932	1.39917	0.00004
1934	1.39917	0.00004
1936	1.39917	0.00004
1938	1.39916	0.00004
1940	1.39916	0.00004
1942	1.39916	0.00004
1944	1.39916	0.00004
1946	1.39915	0.00004
1948	1.39915	0.00004
1950	1.39915	0.00004
1952	1.39915	0.00004
1954	1.39914	0.00004
1956	1.39914	0.00004
1958	1.39914	0.00004
1960	1.39914	0.000041
1962	1.39913	0.000041
1964	1.39913	0.000041
1966	1.39913	0.000041
1968	1.39913	0.000041
1970	1.39913	0.000041
1972	1.39912	0.000042
1974	1.39912	0.000042
1976	1.39912	0.000042
1978	1.39912	0.000042
1980	1.39911	0.000042
1982	1.39911	0.000042
1984	1.39911	0.000043
1986	1.39911	0.000043
1988	1.3991	0.000043
1990	1.3991	0.000043
1992	1.3991	0.000043
1994	1.3991	0.000043
1996	1.3991	0.000044
1998	1.39909	0.000044
2000	1.39909	0.000044
