Wavelength (nm)	%R-0бу	%R-30бу	%R-60бу
764	6.026332047	8.171214742	19.61917527
766	6.112935517	8.236349301	19.63389312
768	6.132719996	8.305137155	19.59538581
770	6.210039225	8.409927229	19.67382168
772	6.272201618	8.455277878	19.6320331
774	6.355587486	8.545184199	19.69860046
776	6.444460034	8.578447748	19.60032599
778	6.450210347	8.605678284	19.70245658
780	6.540077266	8.644488372	19.6943016
782	6.624786216	8.735279844	19.70482872
784	6.686637714	8.820140115	19.76705479
786	6.778274717	8.78144794	19.66694777
788	6.751444253	8.93400985	19.72485795
790	6.840496886	8.942803757	19.64068881
792	6.90087553	9.040367704	19.63056847
794	6.960706553	9.039875997	19.60857435
796	7.083277313	9.063919102	19.46937983
798	7.022929289	9.061325425	19.78606908
800	7.151744042	9.120404225	19.57343943
