wl (nm)	n	k
924	2.102984	0
926	2.102864	0
928	2.102746	0
930	2.102628	0
932	2.102511	0
934	2.102394	0
936	2.102279	0
938	2.102164	0
940	2.10205	0
942	2.101937	0
944	2.101824	0
946	2.101713	0
948	2.101602	0
950	2.101491	0
952	2.101382	0
954	2.101273	0
956	2.101165	0
958	2.101057	0
960	2.100951	0
962	2.100845	0
964	2.100739	0
966	2.100635	0
968	2.100531	0
970	2.100428	0
972	2.100325	0
974	2.100223	0
976	2.100122	0
978	2.100021	0
980	2.099921	0
982	2.099822	0
984	2.099723	0
986	2.099625	0
988	2.099528	0
990	2.099431	0
992	2.099334	0
994	2.099239	0
996	2.099144	0
998	2.099049	0
1000	2.098955	0
