TiO2		
Wavelength(nm)	n	k
910	2.41595	0
911	2.41582	0
912	2.41569	0
913	2.41556	0
914	2.41543	0
915	2.41531	0
916	2.41518	0
917	2.41505	0
918	2.41492	0
919	2.4148	0
920	2.41467	0
921	2.41455	0
922	2.41442	0
923	2.4143	0
924	2.41417	0
925	2.41405	0
926	2.41392	0
927	2.4138	0
928	2.41368	0
929	2.41356	0
930	2.41344	0
931	2.41331	0
932	2.41319	0
933	2.41307	0
934	2.41295	0
935	2.41283	0
936	2.41272	0
937	2.4126	0
938	2.41248	0
939	2.41236	0
940	2.41224	0
941	2.41213	0
942	2.41201	0
943	2.41189	0
944	2.41178	0
945	2.41166	0
946	2.41155	0
947	2.41143	0
948	2.41132	0
949	2.41121	0
950	2.41109	0
951	2.41098	0
952	2.41087	0
953	2.41075	0
954	2.41064	0
955	2.41053	0
956	2.41042	0
957	2.41031	0
958	2.4102	0
959	2.41009	0
960	2.40998	0
961	2.40987	0
962	2.40976	0
963	2.40965	0
964	2.40955	0
965	2.40944	0
966	2.40933	0
967	2.40922	0
968	2.40912	0
969	2.40901	0
970	2.40891	0
971	2.4088	0
972	2.40869	0
973	2.40859	0
974	2.40849	0
975	2.40838	0
976	2.40828	0
977	2.40817	0
978	2.40807	0
979	2.40797	0
980	2.40787	0
981	2.40776	0
982	2.40766	0
983	2.40756	0
984	2.40746	0
985	2.40736	0
986	2.40726	0
987	2.40716	0
988	2.40706	0
989	2.40696	0
990	2.40686	0
991	2.40676	0
992	2.40666	0
993	2.40657	0
994	2.40647	0
995	2.40637	0
996	2.40627	0
997	2.40618	0
998	2.40608	0
999	2.40598	0
1000	2.40589	0
1001	2.40579	0
1002	2.4057	0
1003	2.4056	0
1004	2.40551	0
1005	2.40541	0
1006	2.40532	0
1007	2.40523	0
1008	2.40513	0
1009	2.40504	0
1010	2.40495	0
1011	2.40485	0
1012	2.40476	0
1013	2.40467	0
1014	2.40458	0
1015	2.40449	0
1016	2.4044	0
1017	2.40431	0
1018	2.40422	0
1019	2.40412	0
1020	2.40403	0
1021	2.40395	0
1022	2.40386	0
1023	2.40377	0
1024	2.40368	0
1025	2.40359	0
1026	2.4035	0
1027	2.40341	0
1028	2.40333	0
1029	2.40324	0
1030	2.40315	0
1031	2.40306	0
1032	2.40298	0
1033	2.40289	0
1034	2.40281	0
1035	2.40272	0
1036	2.40263	0
1037	2.40255	0
1038	2.40246	0
1039	2.40238	0
1040	2.4023	0
1041	2.40221	0
1042	2.40213	0
1043	2.40204	0
1044	2.40196	0
1045	2.40188	0
1046	2.40179	0
1047	2.40171	0
1048	2.40163	0
1049	2.40155	0
1050	2.40147	0
1051	2.40138	0
1052	2.4013	0
1053	2.40122	0
1054	2.40114	0
1055	2.40106	0
1056	2.40098	0
1057	2.4009	0
1058	2.40082	0
1059	2.40074	0
1060	2.40066	0
1061	2.40058	0
1062	2.4005	0
1063	2.40042	0
1064	2.40035	0
1065	2.40027	0
1066	2.40019	0
1067	2.40011	0
1068	2.40003	0
1069	2.39996	0
1070	2.39988	0
1071	2.3998	0
1072	2.39973	0
1073	2.39965	0
1074	2.39957	0
1075	2.3995	0
1076	2.39942	0
1077	2.39935	0
1078	2.39927	0
1079	2.3992	0
1080	2.39912	0
1081	2.39905	0
1082	2.39897	0
1083	2.3989	0
1084	2.39883	0
1085	2.39875	0
1086	2.39868	0
1087	2.39861	0
1088	2.39853	0
1089	2.39846	0
1090	2.39839	0
1091	2.39831	0
1092	2.39824	0
1093	2.39817	0
1094	2.3981	0
